ДОКУМЕНТАЦИЯ:Сортировка и сушка кокса

A001;B001;C001;D001;E001;F001;F002;G001;H001;H002;I001;J001;K001;L001;L002;L003;M001;M002;N001;O001;P001
Position du folio;Название страницы;Numéro de folio;Назначение.qet;Положение;Метка;Formule du label;Назначение;Description;Installation;Комментарий;Производитель;Numéro de commande;Fournisseur;Quantité;Unité;Внешний блок 1;Внешний блок 2;Numéro interne;Расположение;Функция
1;Титульная;1/29;Danger electric;A4;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;C1;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;C5;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;C4;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;C1;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;C3;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;B2;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;B3;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;B3;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;C0;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;B4;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;B1;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;B0;;;;;;;;;;;;;;;;
2;Внешние соединения;2/29;Motor;B5;;;;;;;;;;;;;;;;
3;Распределение питания 380В;3/29;Danger electric;C0;;;;;;;;;;;;;;;;
3;Распределение питания 380В;3/29;Трёхполюсный + PE +N;A1;;;;;;;;;;;;;;;;
3;Распределение питания 380В;3/29;Magneto-thermal circuit breaker GV;B6;-3QF5;-3QF5;;;;;;;;;;;;;;
3;Распределение питания 380В;3/29;Magneto-thermal circuit breaker GV;B5;-3QF4;-3QF4;;;;C25;;;;;;;;;;
3;Распределение питания 380В;3/29;Magneto-thermal circuit breaker GV;B2;-3QF2;-3QF2;;;;C25;;;;;;;;;;
3;Распределение питания 380В;3/29;Magneto-thermal circuit breaker GV;B4;-3QF3;-3QF3;;;;C25;;;;;;;;;;
3;Распределение питания 380В;3/29;Magneto-thermal circuit breaker GV;B0;-3QF1;-3QF1;;;;C50;;;;;;;;;;
3;Распределение питания 380В;3/29;Magneto-thermal circuit breaker GV;B7;-3QF6;-3QF6;;;;;;;;;;;;;;
4;Распределение питания 380В;4/29;Magneto-thermal circuit breaker GV;B3;-4QF9;-4QF9;;;;C16;;;;;;;;;;
4;Распределение питания 380В;4/29;Magneto-thermal circuit breaker GV;B7;-4QF13;-4QF13;;;;C16;;;;;;;;;;
4;Распределение питания 380В;4/29;Magneto-thermal circuit breaker GV;B6;-4QF12;-4QF12;;;;C16;;;;;;;;;;
4;Распределение питания 380В;4/29;Magneto-thermal circuit breaker GV;B5;-4QF11;-4QF11;;;;C16;;;;;;;;;;
4;Распределение питания 380В;4/29;Magneto-thermal circuit breaker GV;B9;-4QF14;-4QF14;;;;C16;;;;;;;;;;
4;Распределение питания 380В;4/29;Magneto-thermal circuit breaker GV;B4;-4QF10;-4QF10;;;;C16;;;;;;;;;;
4;Распределение питания 380В;4/29;Magneto-thermal circuit breaker GV;B0;-4QF7;-4QF7;;;;;;;;;;;;;;
4;Распределение питания 380В;4/29;Magneto-thermal circuit breaker GV;B1;-4QF8;-4QF8;;;;;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Лампа;C1;-5H1;;;;;;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Клеммное соединение;B5;-X1;;;;;;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Клеммное соединение;B5;;;;;;;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Клеммное соединение;A5;;;;;;;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Клеммное соединение;B7;-X2;;;;;;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Аварийный стоп;A0;-5B2;-5B2;;;;Авар.стоп;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Клеммное соединение;A5;-X1;;;;;;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Клеммное соединение;B7;;;;;;;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Обмотка;C0;-5AP;;;;;Аварийное реле;;;;;;;;;;
5;Автоматика: Аварийное реле;5/29;Клеммное соединение;A7;;;;;;;;;;;;;;;;
